Feature,Importance
wavelet-LLL_glcm_SumEntropy,0.0010262907381824447
square_gldm_DependenceNonUniformity,0.0010252371201524527
wavelet-LLL_glszm_LargeAreaEmphasis,0.0010141583821713994
log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.0010103819550252371
wavelet-HHH_glcm_JointEntropy,0.0009996890037600472
log-sigma-3-0-mm-3D_glszm_ZoneVariance,0.0009948403169494544
lbp-3D-m2_gldm_DependenceEntropy,0.0009897775421587721
log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.000988626732654618
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.0009881675305693045
log-sigma-4-0-mm-3D_glcm_SumAverage,0.0009873296394915202
original_glcm_JointAverage,0.0009837322110631092
original_ngtdm_Complexity,0.0009833538911738799
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.0009822893347681788
wavelet-LLL_gldm_GrayLevelNonUniformity,0.000977027335675161
original_ngtdm_Busyness,0.0009734534687446267
wavelet-HLH_glcm_Imc2,0.0009712339588482151
log-sigma-4-0-mm-3D_glcm_ClusterTendency,0.0009647700481407406
lbp-2D_firstorder_Kurtosis,0.0009636982713728939
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.0009604282673415256
lbp-3D-m2_firstorder_TotalEnergy,0.0009583536044371211
wavelet-HHH_glcm_SumSquares,0.0009535223540146073
wavelet-LLH_glcm_JointAverage,0.0009520843302561827
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.0009506753749135893
log-sigma-5-0-mm-3D_firstorder_Range,0.0009483807342414656
gradient_gldm_DependenceNonUniformity,0.0009473887212706762
wavelet-LHL_gldm_DependenceEntropy,0.0009421878932892174
log-sigma-1-0-mm-3D_glcm_ClusterShade,0.000931436523683633
exponential_gldm_SmallDependenceHighGrayLevelEmphasis,0.0009295744784694415
wavelet-LHL_glrlm_ShortRunEmphasis,0.0009287005958529857
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.0009280868566264069
log-sigma-2-0-mm-3D_glszm_ZonePercentage,0.0009266141554847521
gradient_firstorder_Skewness,0.0009261128997841066
log-sigma-1-0-mm-3D_firstorder_10Percentile,0.0009223880165897172
wavelet-LHL_glszm_ZonePercentage,0.0009219456761860403
log-sigma-4-0-mm-3D_glrlm_RunEntropy,0.0009111343775354636
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.0009099352522756326
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.0009074622527472981
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.0009042527930352356
lbp-2D_firstorder_TotalEnergy,0.000903521789488991
original_glrlm_LongRunLowGrayLevelEmphasis,0.0009018369026641593
log-sigma-1-0-mm-3D_glcm_DifferenceVariance,0.0008991288886517298
log-sigma-4-0-mm-3D_glcm_Idmn,0.0008966566954499695
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.0008964697008569898
original_glszm_LargeAreaEmphasis,0.0008961372888409879
logarithm_firstorder_InterquartileRange,0.0008961207222275548
log-sigma-3-0-mm-3D_firstorder_Maximum,0.0008960064736622352
log-sigma-4-0-mm-3D_firstorder_Minimum,0.0008952156744496042
wavelet-HHH_glcm_DifferenceVariance,0.0008831086491023907
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0008812923716320875
log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.0008792839369470665
lbp-3D-m2_gldm_LargeDependenceHighGrayLevelEmphasis,0.0008779094681472037
lbp-3D-m1_gldm_DependenceNonUniformity,0.0008764504340941579
original_shape_MinorAxisLength,0.0008764095769528244
wavelet-LLL_glcm_ClusterTendency,0.0008714471604902353
wavelet-HLL_glszm_SizeZoneNonUniformity,0.0008697675760926814
gradient_firstorder_TotalEnergy,0.0008684924528190531
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.0008661257814012228
gradient_firstorder_Kurtosis,0.0008652598323075366
log-sigma-3-0-mm-3D_glcm_Idmn,0.0008625474829530142
wavelet-HHH_glrlm_RunPercentage,0.00086142482316267
wavelet-LLH_firstorder_10Percentile,0.0008608289016903834
log-sigma-5-0-mm-3D_firstorder_Skewness,0.0008595703209049352
log-sigma-4-0-mm-3D_gldm_GrayLevelNonUniformity,0.0008585920286157654
wavelet-HLH_firstorder_InterquartileRange,0.0008577230398771109
log-sigma-1-0-mm-3D_firstorder_Uniformity,0.0008570896462865987
wavelet-LHH_glcm_DifferenceAverage,0.0008562951065303321
wavelet-HLH_glszm_ZonePercentage,0.0008529324854334926
wavelet-LHL_gldm_LargeDependenceEmphasis,0.0008491032865337343
wavelet-LHL_glrlm_RunPercentage,0.0008423792448550289
wavelet-HHH_glrlm_RunEntropy,0.0008401978284566939
wavelet-HHH_ngtdm_Contrast,0.0008347776215432695
